timestamp,elapsed_ms,phase,req_total,req_success,req_error,req_initialize,req_tools_list,req_tools_call,req_tools_call_ps_success,int_req,int_err,p50_ms,p99_ms,ws_bytes,handles,threads,pool_warm,pool_leased,pool_total,pool_min,pool_max,pool_started,pool_available,note
2026-08-04T14:14:46.5291264+00:00,30016,baseline,0,0,0,0,0,0,0,0,0,,,127803392,737,24,2,0,2,2,6,True,True,
2026-08-04T14:15:16.6687328+00:00,60156,baseline,0,0,0,0,0,0,0,0,0,,,146886656,813,29,2,0,2,2,6,True,True,
2026-08-04T14:15:46.7165505+00:00,90203,baseline,0,0,0,0,0,0,0,0,0,,,149491712,877,29,2,0,2,2,6,True,True,
2026-08-04T14:16:16.7683403+00:00,120255,baseline,0,0,0,0,0,0,0,0,0,,,154152960,854,27,2,0,2,2,6,True,True,
2026-08-04T14:16:46.7954132+00:00,150282,baseline,0,0,0,0,0,0,0,0,0,,,155860992,848,24,2,0,2,2,6,True,True,
2026-08-04T14:17:16.8328647+00:00,180320,warmup,8,8,0,1,4,3,3,6,0,111.0,151.6,162791424,939,32,2,0,2,2,6,True,True,
2026-08-04T14:17:46.8792586+00:00,210366,warmup,893,893,0,114,422,357,357,886,0,1.0,14.3,191135744,1202,28,2,0,2,2,6,True,True,
2026-08-04T14:18:16.9164103+00:00,240403,warmup,1771,1771,0,206,864,701,701,878,0,0.0,23.4,181760000,1432,27,2,0,2,2,6,True,True,
2026-08-04T14:18:46.9362832+00:00,270423,warmup,2640,2640,0,301,1285,1054,1054,870,0,0.0,14.0,191606784,1581,26,2,0,2,2,6,True,True,
2026-08-04T14:19:16.9793053+00:00,300466,warmup,3522,3522,0,388,1710,1424,1424,881,0,1.0,19.0,185270272,1625,27,2,0,2,2,6,True,True,
2026-08-04T14:19:47.0046197+00:00,330492,warmup,4400,4400,0,458,2159,1783,1783,878,0,1.0,32.2,185421824,2017,27,2,0,2,2,6,True,True,
2026-08-04T14:20:17.0379730+00:00,360525,warmup,5273,5273,0,547,2601,2125,2125,874,0,0.0,16.3,185753600,2276,27,2,0,2,2,6,True,True,
2026-08-04T14:20:47.0651347+00:00,390552,warmup,6157,6157,0,641,3034,2482,2482,884,0,0.0,18.0,185462784,1261,28,2,0,2,2,6,True,True,
2026-08-04T14:21:17.0907413+00:00,420578,warmup,7037,7037,0,712,3485,2841,2840,879,0,0.0,13.2,186077184,2331,28,1,0,2,2,6,True,True,
2026-08-04T14:21:47.1181653+00:00,450605,warmup,7895,7895,0,806,3921,3168,3168,858,0,0.0,16.0,186261504,2698,28,2,0,2,2,6,True,True,
2026-08-04T14:22:17.1509507+00:00,480638,load,8765,8765,0,883,4381,3501,3501,870,0,0.0,15.3,186601472,899,28,2,0,2,2,6,True,True,
2026-08-04T14:22:47.1791181+00:00,510666,load,9656,9656,0,966,4805,3885,3885,890,0,0.0,10.0,186454016,2086,28,2,0,2,2,6,True,True,
2026-08-04T14:23:17.1983365+00:00,540685,load,10539,10539,0,1063,5229,4247,4247,885,0,0.0,15.2,186945536,2985,24,2,0,2,2,6,True,True,
