timestamp,elapsed_ms,phase,req_total,req_success,req_error,int_req,int_err,p50_ms,p99_ms,ws_bytes,handles,threads,pool_warm,pool_leased,pool_total,pool_min,pool_max,pool_started,note
2026-08-04T09:48:31.7932117+00:00,330015,soak,9881,5988,3893,9877,3893,0.0,7.0,158117888,812,26,2,0,2,2,6,True,
2026-08-04T09:49:01.9125751+00:00,360134,soak,10788,6548,4240,908,346,0.0,3.0,168169472,851,29,2,0,2,2,6,True,
2026-08-04T09:49:31.9560222+00:00,390178,soak,11682,7064,4618,895,378,0.0,9.8,170790912,820,29,2,0,2,2,6,True,
2026-08-04T09:50:01.9944373+00:00,420216,soak,12585,7617,4968,905,351,0.0,2.5,172138496,841,29,2,0,2,2,6,True,
2026-08-04T09:50:32.0261622+00:00,450248,soak,13490,8134,5356,905,388,0.0,6.7,172961792,860,29,2,0,2,2,6,True,
2026-08-04T09:51:02.0646475+00:00,480286,soak,14382,8654,5728,892,372,0.0,4.0,173289472,835,26,2,0,2,2,6,True,
2026-08-04T09:51:32.1044128+00:00,510326,soak,15273,9159,6114,890,385,0.0,9.0,174043136,860,27,2,0,2,2,6,True,
2026-08-04T09:52:02.1347705+00:00,540357,soak,16172,9691,6481,899,367,0.0,4.7,174399488,862,27,2,0,2,2,6,True,
2026-08-04T09:52:32.1672259+00:00,570389,soak,17060,10231,6829,887,348,0.0,3.6,175149056,875,27,1,1,2,2,6,True,
2026-08-04T09:53:02.1977419+00:00,600420,soak,17956,10744,7212,896,384,0.0,3.0,177594368,815,28,2,0,2,2,6,True,
2026-08-04T09:53:32.2293122+00:00,630451,soak,18855,11294,7561,901,349,0.0,7.0,175738880,829,26,2,0,2,2,6,True,
2026-08-04T09:54:02.2543506+00:00,660476,soak,19757,11839,7918,900,357,0.0,2.0,175702016,837,28,2,0,2,2,6,True,
2026-08-04T09:54:32.2888562+00:00,690511,soak,20660,12392,8268,905,350,0.0,3.0,175718400,849,26,0,2,2,2,6,True,
